StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   199901,   3.54,     45,   -.79,   3.61,   -.68,   2.56,      0,    504,   -.04,   -.64,   -.12,   -.17,    .42,   1.87,   1.08,   34.6,   55.4,
       04,      00,   199902,   4.98,   44.9,    .57,   3.81,   1.71,   3.34,      0,    473,    .65,    .32,   -.19,    .14,     .2,     .8,   1.45,   34.8,   55.1,
       04,      00,   199903,    2.4,   47.5,    .29,   3.19,   -.68,   2.44,      1,    511,   -.23,    .29,    .11,   -.02,    .03,    .52,   1.63,   36.3,   58.6,
       04,      00,   199904,   1.87,   51.3,    .47,   3.08,    .65,   2.51,      1,    393,    .43,   -.03,    .32,    .11,    .07,    .47,   1.69,   39.4,   63.2,
       04,      00,   199905,    .33,   60.4,    .22,   2.56,   -.62,   1.74,     22,    211,   -.93,   -.08,    -.3,   -.33,      0,    .05,   1.69,   46.7,   74.1,
       04,      00,   199906,    .25,   67.8,    .31,   2.41,    .35,   1.68,     77,     75,   -.11,   -.96,   -.16,    .03,   -.06,   -.01,   1.63,   53.3,   82.3,
       04,      00,   199907,    .31,   73.3,     .5,   2.38,    .65,   1.81,    193,      7,   1.11,     .3,   -.66,    .22,    .04,    .01,   1.63,   58.5,   88.1,
       04,      00,   199908,    .21,   72.6,    .52,   2.21,    .23,   1.66,    183,     10,    .09,    .64,    .15,   -.25,   -.29,    .02,   1.62,   58.2,   87.1,
       04,      00,   199909,    .18,   70.7,   -.28,    1.7,   -.83,    .85,    137,     23,   -.49,   -.45,    -.1,   -.23,    .02,   -.07,   1.55,   55.8,   85.6,
       04,      00,   199910,    .71,   63.7,   -.77,   1.01,  -1.55,   -.33,     79,     74,   -.45,   -.76,   -.76,  -1.18,   -.01,   -.11,   1.51,   48.4,     79,
       04,      00,   199911,    2.2,     53,  -1.01,    .59,   -.96,   -.97,      6,    294,   -.03,   -.31,   -.46,   -.43,   -.64,   -.55,   1.34,   41.4,   64.6,
       04,      00,   199912,    .65,   45.3,  -2.12,  -2.12,  -3.66,  -2.12,      0,    478,  -1.63,  -1.14,  -1.24,  -1.33,  -1.36,   -.74,   1.14,   33.6,     57,
       04,      00,   200001,   5.09,   45.8,   -.05,  -1.95,   -.14,  -1.95,      0,    477,    .52,   -.46,   -.52,    -.7,   -.81,    -.5,    .98,   36.6,   54.9,
       04,      00,   200002,   6.93,   47.2,      1,   -.75,      3,    .72,      0,    427,   1.26,   1.08,    .36,    .09,    .09,   -.14,    .39,   38.4,     56,
       04,      00,   200003,   1.92,   50.2,   -.54,  -1.21,  -1.61,   -.48,      1,    414,   -.53,    .69,    .71,   -.06,   -.07,   -.16,    .14,   38.6,   61.7,
       04,      00,   200004,    1.8,   57.8,   -.56,  -1.17,   -.25,   -.52,     20,    235,    .37,   -.29,    .68,    .07,   -.05,   -.14,     .1,   44.6,   71.1,
       04,      00,   200005,    .94,   63.9,   -.42,   -.97,    .25,   -.19,     63,    121,    .31,    .33,   -.27,    .15,   -.04,   -.04,   -.13,   50.4,   77.3,
       04,      00,   200006,    .31,   72.2,   -.44,   -.93,   -.19,   -.22,    158,     23,    .12,    .24,    .29,     .7,    .01,      0,   -.18,   57.3,     87,
       04,      00,   200007,    .06,   73.5,    -.8,  -1.24,  -1.22,   -.87,    186,     11,  -1.04,   -.34,    .07,    .66,    .08,   -.05,   -.19,   58.5,   88.5,
       04,      00,   200008,    .27,     75,   -.79,  -1.18,    -.2,   -.82,    251,      2,    .42,   -.15,   -.21,   -.28,    .16,   -.03,   -.17,   60.1,   89.8,
       04,      00,   200009,    .35,   69.1,   -.83,  -1.18,   -.36,   -.88,    139,     25,    .13,    .16,   -.15,    .19,    .68,      0,   -.22,   54.6,   83.6,
       04,      00,   200010,    2.2,   58.4,   -.11,   -.11,   1.91,    .64,     14,    192,   1.08,    .96,    .96,    .77,    .83,    .22,   -.06,   46.5,   70.2,
       04,      00,   200011,    .79,     46,   -.76,   -.76,  -1.99,   -.76,      0,    463,  -1.12,   -.26,    -.3,   -.36,   -.57,   -.06,   -.48,   34.8,   57.2,
       04,      00,   200012,    .77,   46.5,  -1.93,  -1.93,  -3.76,  -1.93,      0,    442,  -1.53,   -1.7,  -1.16,  -1.25,  -1.07,   -.03,    -.6,   35.4,   57.7,
       04,      00,   200101,   3.52,   42.3,  -2.35,  -2.35,  -1.84,  -2.35,      0,    593,   -.05,   -.96,  -1.31,  -1.01,     -1,   -.37,   -.66,     32,   52.6,
       04,      00,   200102,   4.42,   43.1,  -2.06,  -2.06,    .14,  -1.93,      0,    529,    .45,    .18,   -.56,    -.7,   -.72,   -.86,   -.66,   33.6,   52.6,
       04,      00,   200103,   2.21,   52.6,  -2.36,  -2.36,  -1.56,  -2.36,      4,    358,   -.35,    .07,   -.06,   -.78,   -.81,   -.75,   -.69,   40.9,   64.3,
       04,      00,   200104,   1.75,     52,  -1.99,  -1.99,    .39,  -1.75,      2,    379,    .33,   -.18,    .09,   -.93,    -.7,    -.7,   -.69,   39.7,   64.4,
       04,      00,   200105,    .15,   68.6,  -2.36,  -2.36,  -1.72,  -2.36,    106,     69,   -1.7,   -.35,   -.54,   -.75,   -.85,   -.88,   -.72,   53.3,   83.8,
       04,      00,   200106,    .23,   71.4,  -2.66,  -2.66,  -1.64,  -2.66,    155,     26,    -.2,  -1.55,   -.42,   -.19,   -.84,   -.88,   -.71,   56.4,   86.3,
       04,      00,   200107,    .28,   74.2,  -2.79,  -2.79,   -1.2,  -2.79,    197,      7,    .93,    .15,  -1.23,   -.09,  -1.08,   -.83,   -.72,   59.7,   88.8,
       04,      00,   200108,    .05,     76,  -2.89,  -2.89,  -1.18,  -2.89,    249,      2,  -1.21,   -.15,   -.44,   -.59,   -.77,   -.88,   -.73,   60.6,   91.4,
       04,      00,   200109,     .3,   71.2,  -2.82,  -2.82,   -.68,  -2.82,    160,     18,   -.02,   -.58,   -.27,   -.56,   -.22,   -.88,   -.72,   56.4,   86.1,
       04,      00,   200110,    .65,   63.6,  -3.09,  -3.09,  -1.67,  -3.09,     56,     94,   -.54,   -.68,   -.89,  -1.52,   -.35,  -1.26,   -.72,   49.8,   77.5,
       04,      00,   200111,   4.21,   51.6,  -2.24,  -2.24,   1.59,  -1.53,      4,    324,   1.04,    .67,    .62,    .53,   -.16,   -.57,   -.49,   41.4,   61.7,
       04,      00,   200112,   5.25,   42.8,  -1.41,  -1.41,   1.78,    .04,      0,    566,    .79,   1.08,    .86,    .82,    .57,    .24,    .06,   34.4,   51.2,
       04,      00,   200201,   2.22,   42.4,  -1.69,  -1.69,  -1.26,   -.73,      0,    581,   -.66,    .05,    .39,    .19,    .02,   -.01,   -.35,   32.1,   52.5,
       04,      00,   200202,   1.45,   48.2,  -2.24,  -2.24,  -2.18,  -2.03,      0,    387,   -.98,  -1.22,    -.5,   -.26,    -.3,   -.59,   -.94,   35.7,   60.7,
       04,      00,   200203,   1.91,   48.5,  -2.48,  -2.48,  -1.41,  -2.48,      0,    451,   -.54,  -1.16,  -1.32,    -.4,   -.44,   -.58,   -.95,     36,     61,
       04,      00,   200204,    .88,     56,  -2.68,  -2.68,  -1.38,  -2.68,     10,    293,   -.59,   -.82,  -1.34,   -.42,   -.57,   -.71,  -1.05,   43.3,   68.7,
       04,      00,   200205,    .59,   61.5,  -2.58,  -2.58,   -.53,  -2.58,     29,    179,   -.29,   -.78,   -.95,   -.87,   -.58,   -.62,  -1.12,   47.4,   75.5,
       04,      00,   200206,    .07,   71.2,  -2.76,  -2.76,  -1.32,  -2.76,    126,     37,  -1.05,   -.77,     -1,  -1.58,   -.59,   -.63,  -1.13,     56,   86.5,
       04,      00,   200207,    .06,   77.4,  -3.07,  -3.07,   -1.8,  -3.07,    261,      0,  -1.04,  -1.46,  -1.06,  -1.63,   -.52,   -.68,  -1.14,   62.2,   92.6,
       04,      00,   200208,    .01,   74.4,  -3.28,  -3.28,  -1.56,  -3.28,    209,      3,  -1.87,  -3.09,  -1.87,  -1.33,  -1.01,   -.68,  -1.18,   58.8,     90,
       04,      00,   200209,    .11,   70.9,  -3.37,  -3.37,  -1.28,  -3.37,    172,     15,    -.9,   -1.8,     -2,  -1.78,  -1.88,   -.72,   -1.2,   55.8,     86,
       04,      00,   200210,    .06,   59.4,  -3.77,  -3.77,  -2.26,  -3.77,     15,    184,  -1.72,  -1.88,  -2.19,  -2.33,  -2.26,   -.88,  -1.45,   45.5,   73.2,
       04,      00,   200211,   3.18,   52.3,    .09,  -3.29,    .28,  -3.12,      7,    282,    .54,   -.12,    -.3,   -.66,  -1.26,  -1.13,  -1.17,   40.6,     64,
       04,      00,   200212,   8.14,     44,    1.6,  -1.44,   4.55,    .56,      0,    536,   1.72,   1.58,    1.2,   1.03,    .63,   -.53,   -.27,   35.1,   52.9,
       04,      00,   200301,   1.92,     50,    .69,  -2.04,  -2.24,   -.93,     10,    353,   -.83,     .7,    .74,    .35,    .19,   -.67,   -.53,   39.8,   60.1,
       04,      00,   200302,   2.66,   45.7,    .37,  -2.07,   -.73,  -1.22,      0,    453,    -.3,   -.85,    .37,    .15,    .03,   -.43,   -.68,   35.3,   56.2,
       04,      00,   200303,   2.77,   51.4,     .1,  -2.09,   -.69,  -1.45,      4,    373,   -.02,   -.32,   -.77,    .16,    .06,    -.2,   -.62,   39.7,     63,
       04,      00,   200304,   3.98,     50,    1.4,   -.57,   3.92,   1.38,      1,    408,   1.72,    .88,    .37,    .72,    .46,    .34,   -.34,   39.4,   60.7,
       04,      00,   200305,   1.09,     62,   1.53,   1.53,    .85,   1.53,     35,    163,    .52,   1.65,    .91,    .68,    .52,    .42,   -.23,   48.6,   75.4,
       04,      00,   200306,    .04,   71.2,   1.53,   1.53,    .46,   1.53,    116,     44,  -1.28,    .07,   1.47,   -.15,    .52,    .44,   -.24,   56.4,   86.1,
       04,      00,   200307,    .22,   78.7,   -.19,   1.18,   -.58,     .8,    320,      0,    .53,    -.8,    .13,    .38,    .72,    .46,   -.25,   63.5,   93.8,
       04,      00,   200308,    .57,     75,   -.01,   1.23,     .5,   1.04,    272,      2,   1.59,   1.45,    .31,    .92,    .71,    .54,   -.18,   60.8,   89.2,
       04,      00,   200309,    .17,   72.9,    -.4,     .7,   -1.2,   -.17,    206,      9,   -.54,    .42,    .45,   1.47,   -.11,    .55,    -.2,   57.7,     88,
       04,      00,   200310,    .09,   65.4,  -1.35,  -1.35,  -2.96,  -1.35,     93,     61,  -1.64,  -1.72,  -1.12,   -.99,    .08,    .55,   -.27,   50.6,   80.2,
       04,      00,   200311,   2.35,   46.8,  -1.28,  -1.28,   -.21,  -1.28,      0,    435,    .07,    -.6,   -.77,    -.7,     .3,     .4,    -.5,   36.9,   56.7,
       04,      00,   200312,   5.77,     44,    .66,    .66,   1.98,    .66,      0,    532,    .97,    .69,    .31,    .37,    .93,      0,   -.44,   35.2,   52.8,
       04,      00,   200401,   2.27,   43.5,    .14,    .14,  -1.35,   -.45,      0,    544,   -.63,     .2,    .09,   -.15,   -.16,    .03,    -.5,     34,     53,
       04,      00,   200402,   5.88,   44.2,   1.01,   1.01,   2.66,   1.01,      0,    501,    .95,    .23,    .61,    .24,    .25,    .58,    .07,   34.9,   53.6,
       04,      00,   200403,   1.08,   56.9,  -1.19,  -1.19,  -3.58,  -1.19,     20,    233,   -1.2,    .17,   -.28,   -.07,   -.03,    .33,   -.03,   43.5,   70.2,
       04,      00,   200404,     .7,   57.3,   -1.7,   -1.7,  -1.88,   -1.7,     18,    233,   -.86,  -1.64,   -.12,   -.02,    -.2,    -.2,   -.03,   43.9,   70.7,
       04,      00,   200405,    .45,   63.2,  -2.15,  -2.15,  -1.89,  -2.15,     56,    126,    -.6,  -1.18,  -1.86,   -.06,   -.33,   -.32,   -.04,   49.2,   77.2,
       04,      00,   200406,    .08,   70.4,   -2.8,   -2.8,  -2.62,   -2.8,    115,     44,   -.98,  -1.09,  -1.38,   -.61,   -.32,   -.29,   -.04,   55.6,   85.2,
       04,      00,   200407,    .06,   76.1,  -3.26,  -3.26,  -2.24,  -3.26,    246,      1,  -1.04,   -1.4,  -1.45,   -.33,   -.14,   -.32,   -.04,   61.2,     91,
       04,      00,   200408,    .19,   74.8,  -3.23,  -3.23,   -.91,  -3.23,    230,      1,   -.02,    -.6,  -1.17,  -2.39,   -.11,   -.38,   -.01,     60,   89.7,
       04,      00,   200409,    .14,   69.4,  -3.26,  -3.26,  -1.09,  -3.26,    158,     20,    -.7,   -.65,   -.99,  -1.95,   -.72,   -.39,   -.01,   54.2,   84.5,
       04,      00,   200410,   3.72,   58.2,    1.6,  -1.33,   4.79,    .66,     14,    189,    2.1,   1.94,   1.88,   1.18,    .26,    .21,    .39,   46.4,   69.9,
       04,      00,   200411,   1.68,   47.7,   1.26,  -1.37,   -.53,    .34,      0,    439,   -.38,     .9,    .79,     .6,   -.77,    .07,    .23,   37.4,   57.9,
       04,      00,   200412,   5.51,   44.6,   1.73,   -.62,   1.82,   1.66,      0,    511,    .88,    .41,   1.07,    .97,    .48,    .02,   -.07,   35.2,   54.1,
       04,      00,   200501,   5.56,   44.1,   2.33,   2.33,   2.33,   2.33,      0,    519,    .66,    .92,    .63,   1.06,    .88,    .59,    .32,   35.8,   52.4,
       04,      00,   200502,   4.03,   47.1,   2.28,   2.28,    .56,   2.28,      0,    421,     .3,    .57,    .84,      1,    .92,    .23,    .48,   38.1,   56.1,
       04,      00,   200503,   3.69,   51.1,   2.21,   2.21,     .5,   2.21,      1,    379,    .44,    .39,    .59,   1.02,    .96,    .69,    .59,     40,   62.2,
       04,      00,   200504,   1.79,     53,   2.09,   2.09,    .33,   2.09,      6,    329,    .36,    .45,    .39,    .66,    .95,    .83,    .34,   40.4,   65.6,
       04,      00,   200505,   2.54,   62.2,   3.17,   3.17,   3.88,   3.17,     44,    145,   1.94,   1.28,    .96,   1.05,   1.17,   1.11,    .52,   49.5,   74.8,
       04,      00,   200506,    .67,   66.2,   3.83,   3.83,   2.96,   3.83,     70,     84,   1.19,   2.14,   1.41,    .91,   1.24,   1.18,    .58,   52.6,   79.9,
       04,      00,   200507,    .14,   78.4,   4.58,   4.58,   3.43,   4.58,    307,      0,   -.12,      1,   2.13,    .87,    .94,   1.19,    .58,   63.2,   93.5,
       04,      00,   200508,    .29,   75.8,   4.08,   4.08,   -.08,   3.99,    261,      1,    .51,     .3,    .96,   1.05,    1.1,   1.21,    .56,   60.6,     91,
       04,      00,   200509,    .32,   66.9,   3.55,   3.55,   -.32,   3.29,     90,     51,    .04,    .14,    .01,   1.32,     .9,   1.22,    .56,     52,   81.7,
       04,      00,   200510,      1,   59.9,   3.01,   3.01,   -.54,   2.48,     25,    153,   -.07,   -.23,   -.17,   1.44,    .76,    .89,    .65,   46.8,     73,
       04,      00,   200511,   2.26,   52.4,   2.42,   2.42,   -.83,   1.54,      8,    278,    .01,   -.11,   -.17,    .03,    .71,    .99,    .65,   40.8,     64,
       04,      00,   200512,   7.81,   46.1,   3.46,   3.46,   3.88,   3.46,      0,    455,   1.63,   1.25,   1.11,    1.1,   1.53,   1.31,     .9,   36.6,   55.5,
       04,      00,   200601,   4.54,   44.6,   3.49,   3.49,   1.15,   3.49,      0,    513,    .33,   1.19,   1.03,    .94,    1.3,   1.26,   1.24,     35,   54.2,
       04,      00,   200602,   2.69,   47.7,   2.84,   2.84,   -.86,   2.44,      0,    397,   -.28,   -.01,    .83,    .63,    .69,   1.01,    .76,   35.3,   60.1,
       04,      00,   200603,   5.41,     44,   3.71,   3.71,   3.48,   3.71,      0,    584,   1.13,    .49,    .46,    .96,    .95,   1.22,   1.25,   34.4,   53.7,
       04,      00,   200604,   4.16,     53,   4.61,   4.61,   3.84,   4.61,      2,    355,   1.81,   1.66,   1.05,    1.3,   1.24,   1.46,   1.59,   42.1,   63.9,
       04,      00,   200605,    .73,   64.6,   -.05,   4.09,   -.14,   3.98,     58,    121,   -.02,   1.56,   1.59,   1.35,    1.2,   1.25,   1.62,   50.7,   78.5,
       04,      00,   200606,    .15,   73.2,   -.14,   3.57,    -.3,   3.29,    193,     15,   -.57,   -.33,   1.43,    .82,   1.18,   1.17,   1.61,   58.6,   87.8,
       04,      00,   200607,    .15,   79.3,   -.68,   2.64,  -1.67,   1.68,    377,      0,   -.03,   -.62,   -.39,    .96,   1.24,   1.17,   1.62,   64.4,   94.2,
       04,      00,   200608,    .06,   73.8,   -1.1,   1.88,  -1.47,    .36,    213,      5,  -1.09,   -.88,  -1.07,   1.45,   1.29,   1.15,    1.6,   58.5,   89.2,
       04,      00,   200609,    .06,   69.5,  -1.44,   1.23,  -1.37,   -.73,    142,     24,  -1.39,   -1.8,  -1.49,    1.1,    .73,   1.11,    1.6,   54.2,   84.8,
       04,      00,   200610,    .45,   58.8,  -1.78,    .62,  -1.45,  -1.71,     19,    175,   -.86,   -1.3,   -1.5,  -1.58,    .63,   1.06,   1.26,   45.3,   72.2,
       04,      00,   200611,   2.08,   51.3,  -1.91,  -1.91,   -.95,  -1.91,      8,    305,    -.1,   -.54,   -.79,  -1.05,    .86,   1.06,   1.31,   40.3,   62.2,
       04,      00,   200612,   3.13,   43.9,  -2.02,  -2.02,   -.93,  -2.02,      0,    520,   -.09,   -.25,   -.49,   -.68,    .04,    .33,    1.1,   33.1,   54.7,
       04,      00,   200701,    .81,   41.5,  -3.09,  -3.09,  -3.81,  -3.09,      0,    608,  -1.64,  -1.09,  -1.04,  -1.38,  -1.44,   -.37,    .57,   29.5,   53.6,
       04,      00,   200702,   4.24,   46.7,  -2.81,  -2.81,   -.12,  -2.79,      0,    435,    .38,   -.68,    -.7,     -1,  -1.08,   -.09,    .57,   36.3,     57,
       04,      00,   200703,    .74,   54.4,  -3.73,  -3.73,  -3.65,  -3.73,     10,    297,  -1.56,   -.48,  -1.25,  -1.36,  -1.55,   -.93,    .23,   40.9,     68,
